ticker;date_from;date_to;t;price;step_backward;nbre_generation;t_until_critical_point;days_before_critical_time;m;omega;tc;A;B;C1;C2
S5REID;03.10.2011;27.01.2014;2014.072;32.46;-102;50;1.999477079;729;0.100374726;5.007110774;2016.071477;7.863852291;-4.007076771;0.088554687;-0.076901694
S5REID;03.10.2011;24.01.2014;2014.064;32.66;-105;50;1.986259683;724;0.151362938;5.00442488;2016.05026;6.306123639;-2.470307909;0.078337102;-0.075503735
S5REID;03.10.2011;23.01.2014;2014.061;33.26;-106;50;1.998803476;729;0.102331661;5.003416051;2016.059803;7.81874225;-3.958960471;0.086873544;-0.077326572
S5REID;03.10.2011;22.01.2014;2014.058;33.56;-107;50;1.999517214;729;0.10960608;5.00058348;2016.057517;7.515444287;-3.658691847;0.085356032;-0.07734704
S5REID;03.10.2011;21.01.2014;2014.056;33.19;-108;50;1.9988242;729;0.102687815;5.005025064;2016.054824;7.788915693;-3.931111552;0.085985269;-0.077811225
S5REID;03.10.2011;20.01.2014;2014.044;32.87;-109;50;1.999955251;729;0.103394004;5.001879287;2016.043955;7.747617733;-3.892132887;0.083914001;-0.079230051
S5REID;03.10.2011;17.01.2014;2014.044;32.87;-112;50;1.998823492;729;0.102585458;5.002172894;2016.042823;7.781114786;-3.925612454;0.083843078;-0.079384027
S5REID;03.10.2011;16.01.2014;2014.042;33.15;-113;50;1.995046002;728;0.100070919;5.000142268;2016.037046;7.907572109;-4.050278127;0.083341845;-0.080013138
S5REID;03.10.2011;15.01.2014;2014.039;33.34;-114;50;1.991524452;726;0.558821318;5.003696506;2016.030524;4.096265108;-0.377976015;0.037629814;-0.051233943
S5REID;03.10.2011;14.01.2014;2014.036;33.09;-115;50;1.996676018;728;0.10142229;5.001788437;2016.032676;7.85171109;-3.994514914;0.08267388;-0.079935234
S5REID;03.10.2011;13.01.2014;2014.033;32.67;-116;50;1.999045977;729;0.101372874;5.000707772;2016.032046;7.868035814;-4.009382637;0.082706683;-0.079832311
S5REID;03.10.2011;10.01.2014;2014.025;33.42;-119;50;1.996752075;728;0.121813197;5.006897801;2016.021752;7.104891015;-3.252878359;0.079011309;-0.078124108
S5REID;03.10.2011;09.01.2014;2014.022;33.07;-120;50;1.99999198;729;0.118355232;5.003718159;2016.021992;7.221421784;-3.367737375;0.079364534;-0.078626067
S5REID;03.10.2011;08.01.2014;2014.019;33.5;-121;50;1.990300905;726;0.123483735;5.00174302;2016.009301;7.054530506;-3.204003464;0.076644314;-0.079418889
